chapter,label,sheet
F1 SC Chp 1 1.2 工具名称,Your Science Laboratory,F1 SC Chp 1 1.2 a.csv
F1 SC Chp 1 1.2 工具用途,Your Science Laboratory,F1 SC Chp 1 1.2 b.csv
F1 SC Chp 1 1.2 危险符号,Hazard Symbols,F1 SC Chp 1 1.2 c.csv
F1 SC Chp 1 1.2 危险符号,Examples,F1 SC Chp 1 1.2 d.csv
F1 SC Chp 1 1.3 物理量,Physical Quantities and Their Units,F1 SC Chp 1 1.3.csv
F1 SC Chp 1 1.4 测量工具,Measuring Instruments,F1 SC Chp 1 1.4 a.csv
F1 SC Chp 1 1.4 误差,Errors,F1 SC Chp 1 1.4 b.csv
F1 SC Chp 1 1.5 密度,Density,F1 SC Chp 1 1.5.csv
F1 SC Chp 1 1.6 科学实验步骤,Steps in a Scientific Investigation,F1 SC Chp 1 1.6.csv
F1 SC Chp 2 2.1 动植物细胞-选择题,Structures in Animal Cells and Plant Cells,F1 SC Chp 2 2.1 f.csv
F1 SC Chp 2 2.1 动植物细胞-填充题,Structures in Animal Cells and Plant Cells,F1 SC Chp 2 2.1 g.csv
F1 SC Chp 2 2.1 动植物细胞,Functions of Structures in Animal Cells and Plant Cells,F1 SC Chp 2 2.1 a.csv
F1 SC Chp 2 2.1 动植物细胞例子,The Types and Functions of Animal Cells and Plant Cells,F1 SC Chp 2 2.1 b.csv
F1 SC Chp 2 2.1 单&多细胞生物,Unicellular and Multicellular Organisms,F1 SC Chp 2 2.1 c.csv
F1 SC Chp 2 2.1 分类单&多细胞生物,Unicellular and Multicellular Organisms,F1 SC Chp 2 2.1 d.csv
F1 SC Chp 2 2.1 人体系统,Systems in the Human Body,F1 SC Chp 2 2.1 e.csv
F1 SC Chp 2 2.2 呼吸与光合作用,Cell Respiration and Photosynthesis,F1 SC Chp 2 2.2.csv
F1 SC Chp 3 体内平衡-人类,Homeostasis - Human,F1 SC Chp 3 A.csv
F1 SC Chp 3 体内平衡-动物,Homeostasis - Animal,F1 SC Chp 3 B.csv
F1 SC Chp 3 体内平衡-植物,Homeostasis - Plant,F1 SC Chp 3 C.csv
F1 SC Chp 8 8.1 镜子,The Use of Mirrors,F1 SC Chp 8 8.1.csv
F1 SC Chp 8 8.2 光的特征,Properties of Light,F1 SC Chp 8 8.2.csv
F1 SC Chp 8 8.3 光的反射,Reflection of Light,F1 SC Chp 8 8.3.csv
F1 SC Chp 8 8.4 光的折射,Refraction of Light,F1 SC Chp 8 8.4.csv
F1 SC Chp 8 8.5 光的色散,Dispersion of Light,F1 SC Chp 8 8.5.csv
F1 SC Chp 8 8.6 光的散射,Scattering of Light,F1 SC Chp 8 8.6.csv
F1 SC Chp 8 8.7 光的加法,Addition of Light,F1 SC Chp 8 8.7 A.csv
F1 SC Chp 8 8.7 光的减法,Subtraction of Light,F1 SC Chp 8 8.7 B.csv
F1 SC Chp 4 4.1 有性vs无性繁殖,Sexual & Asexual Reproduction ,F1 SC Chp 4 4.1 A.csv
F1 SC Chp 4 4.1 无性繁殖例子,Asexual Reproduction,F1 SC Chp 4 4.1 B.csv
F1 SC Chp 4 4.2 男性繁殖器官 名字,Male Reproduction System-Name,F1 SC Chp 4 4.2 A.csv
F1 SC Chp 4 4.2 男性繁殖器官 功能,Male Reproduction System-Function,F1 SC Chp 4 4.2 B.csv
F1 SC Chp 4 4.2 男性 发育期,Male Reproduction System-Puberty,F1 SC Chp 4 4.2 C.csv
F1 SC Chp 4 4.3 女性繁殖器官 名字,Female Reproduction System-Name,F1 SC Chp 4 4.3 A.csv
F1 SC Chp 4 4.3 女性繁殖器官 功能,Female Reproduction System-Function,F1 SC Chp 4 4.3 B.csv
F1 SC Chp 4 4.2 女性 发育期,Female Reproduction System-Puberty,F1 SC Chp 4 4.3 C.csv
F1 SC Chp 4 4.3 月经周期,The Menstrual Cycle,F1 SC Chp 4 4.4.csv
F1 SC Chp 5 5.1 物质,Matter in Nature,F1 SC Chp 5 5.1.csv
F1 SC Chp 5 5.2 物质特征,Three States of Matter,F1 SC Chp 5 5.2 A.csv
F1 SC Chp 5 5.2 固液气,The effect of heat on matter,F1 SC Chp 5 5.2 B.csv
F1 SC Chp 6 6.1 元素-原子&分子,Atom and Molecule,F1 SC Chp 6 6.1 A.csv
F1 SC Chp 6 6.1 元素&化合物,Element and Compound,F1 SC Chp 6 6.1 B.csv
F1 SC Chp 6 6.1 金属&非金属,Metal and Non-metal,F1 SC Chp 6 6.1 C.csv
F1 SC Chp 6 6.2 混合物,Mixture / Campuran,F1 SC Chp 6 6.2.csv
F1 SC Chp 6 6.3 化合物,Compound / Sebatian,F1 SC Chp 6 6.3 A.csv
F1 SC Chp 6 6.3 变化,Physical Change and Chemical Change,F1 SC Chp 6 6.3 B.csv
F1 SC Chp 7 7.1 空气成分,Composition of air,F1 SC Chp 7 7.1.csv
F1 SC Chp 7 7.2 燃烧,Combustion,F1 SC Chp 7 7.2.csv
F1 SC Chp 7 7.3 空气污染,Air pollution,F1 SC Chp 7 7.3.csv
F1 SC Chp 9 9.1 地球系统与构造,The System and Structure ofthe Earth,F1 SC Chp 9 9.1.csv
F1 SC Chp 9 9.2 地球成分(石头),Composition of the Earth,F1 SC Chp 9 9.2.csv
F1 SC Chp 9 9.3 地球主要流程,Main Processes of the Earth,F1 SC Chp 9 9.3.csv
F1 SC Chp 9 9.4 地质灾害现象,Geohazard Phenomena,F1 SC Chp 9 9.4.csv
F1 SC Chp 9 9.5 地球年龄与资源地质,Age of Earth + Earth's Resources and Applied Geology,F1 SC Chp 9 9.5.csv
