title,type,question,A,B,C,D,E,F,answer,image
Asexual Reproduction,radio,Amoeba / Ameba,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,A,
,radio,Paramecium,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,A,
,radio,Euglena,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,A,
,radio,Bacteria / Bakteria,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,A,
,radio,Hydra,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,B,
,radio,Yeast / Yis,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,B,
,radio,Flatworm / Cacing pipih,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,C,
,radio,Starfish / Tapak sulaiman,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,C,
,radio,Planaria,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,C,
,radio,Carrot / Lobak merah,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,D,
,radio,Strawberry / Strawberi,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,D,
,radio,Bryophyllum / Setawar,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,D,
,radio,Ginger / Halia,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,D,
,radio,Yam / Ubi keladi,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,D,
,radio,Potatoes / Ubi kentang,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,D,
,radio,Grass / Rumput,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,D,
,radio,Algae / Alga,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,E,
,radio,Fungi / Kulat,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,E,
,radio,Fern / Paku-pakis,Binary fission / Belahan dedua,Budding / Pertunasan,Regeneration / Penjanaan semula,Vegetative reproduction / Pembiakan vegetatif,Spore formation / Pembentukan spora,,E,
