title,type,question,A,B,C,D,E,answer,image
吸热散热,radio,Burning of paper / Pembakaran kertas,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,bomb explosion / letupan bom,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,respiration / respirasi,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,neutralisation / peneutralan,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,Photosynthesis / Fotosintesis,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,A,
,radio,cake baking / membuat kek,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,A,
,radio,"extraction of iron from iron ore / 
pengekstrakan besi daripada bijih besi",Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,A,
,radio,"dissolving ammonium salt in water / 
melarutkan garam ammonium dalam air",Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,A,
,radio,"dissolving sodium hydroxide in water / 
melarutkan natrium hidroksida dalam air",Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,"Hydrochloric acid and sodium hydrogen carbonate / 
Asid hidroklorik dan natrium hidrogen karbonat",Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,A,
,radio,"Hydrochloric acid and sodium hydroxide solution / 
Asid hidroklorik dan larutan natrium hidroksida",Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,Instant cold packs / Pek sejuk segera,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,A,
,radio,Instant hot packs / Pek panas segera,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,Rusting of iron / Pengaratan besi,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
,radio,Burning of fossil fuels / Pembakaran bahan api fosil,Endothermic Reaction / Tindak Balas Endotermik,Exothermic Reaction / Tindak Balas Eksotermik,,,,B,
