title,type,question,A,B,C,D,E,F,answer,image
5.2 Sistem Catatan Bergu Level 1,radio,买货,debit: Belian,kredit: Belian,debit: Perabot,kredit: Perabot,,,A,
,radio,买沙发,debit: Belian,kredit: Belian,debit: Perabot,kredit: Perabot,,,C,
,radio,拿货去用,debit: Belian,kredit: Belian,debit: Perabot,kredit: Perabot,,,B,
,radio,卖货,debit: Jualan,kredit: Jualan,debit: Perabot,kredit: Perabot,,,B,
,radio,卖沙发,debit: Jualan,kredit: Jualan,debit: Perabot,kredit: Perabot,,,D,
,radio,收到Cek,debit: Bank,kredit: Bank,debit: Tunai,kredit: Tunai,,,A,
,radio,开Cek,debit: Bank,kredit: Bank,debit: Tunai,kredit: Tunai,,,B,
,radio,买东西 secara kredit,debit: Akaun Belum Terima,kredit: Akaun Belum Terima,debit: Akaun Belum Bayar,kredit: Akaun Belum Bayar,,,D,
,radio,卖东西 secara kredit,debit: Akaun Belum Terima,kredit: Akaun Belum Terima,debit: Akaun Belum Bayar,kredit: Akaun Belum Bayar,,,A,
,radio,拿钱回家用,debit: Ambilan,kredit: Ambilan,debit: Modal,kredit: Modal,,,A,
,radio,带钱进公司,debit: Ambilan,kredit: Ambilan,debit: Modal,kredit: Modal,,,D,
,radio,Akaun Belum Terima 还我钱,debit: Akaun Belum Terima,kredit: Akaun Belum Terima,debit: Akaun Belum Bayar,kredit: Akaun Belum Bayar,,,B,
,radio,还 Akaun Belum Bayar 钱,debit: Akaun Belum Terima,kredit: Akaun Belum Terima,debit: Akaun Belum Bayar,kredit: Akaun Belum Bayar,,,C,
