title,type,question,A,B,C,D,E,F,G,H,answer,image
5.2 Sistem Catatan Bergu Level 2,checkbox,Membeli barang niaga secara tunai,debit: Belian,kredit: Belian,debit: Tunai,kredit: Tunai,,,,,"A,D",
,checkbox,Membeli barang niaga secara kredit,debit: Belian,kredit: Belian,debit: Akaun Belum Bayar,kredit: Akaun Belum Bayar,debit: Akaun Belum Terima,kredit: Akaun Belum Terima,,,"A,D",
,checkbox,Menjual barang niaga secara kredit,debit: Jualan,kredit: Jualan,debit: Akaun Belum Bayar,kredit: Akaun Belum Bayar,debit: Akaun Belum Terima,kredit: Akaun Belum Terima,,,"B,E",
,checkbox,Menjual barang niaga secara tunai,debit: Jualan,kredit: Jualan,debit: Tunai,kredit: Tunai,,,,,"B,C",
,checkbox,Membeli komputer secara kredit,debit: Belian,kredit: Belian,debit: Alatan Pejabat,kredit: Alatan Pejabat,debit: Akaun Belum Bayar,kredit: Akaun Belum Bayar,,,"C,F",
,checkbox,Memulakan perniagaan dengan wang tunai di bank,debit: Tunai,kredit: Tunai,debit: Bank,kredit: Bank,debit: Modal,kredit: Modal,,,"C,F",
,checkbox,Ambil barang untuk kegunaan sendiri,debit: Tunai,kredit: Tunai,debit: Belian,kredit: Belian,debit: Modal,kredit: Modal,debit: Ambilan,kredit: Ambilan,"D,G",
,checkbox,Ambil barang untuk promosi,debit: Tunai,kredit: Tunai,debit: Belian,kredit: Belian,debit: Promosi,kredit: Promosi,debit: Ambilan,kredit: Ambilan,"D,E",
,checkbox,Menjelaskan hutang kepada Pembekal ABC dengan cek,debit: Bank,kredit: Bank,debit: Pembekal ABC,kredit: Pembekal ABC,,,,,"B,C",
,checkbox,Farisha menyelesaikan baki hutangnya dengan cek,debit: Bank,kredit: Bank,debit: Farisha,kredit: Farisha,,,,,"A,D",
,checkbox,Intan Ali memulangkan barang niaga kerana rosak,debit: Bank,kredit: Bank,debit: Intan Ali,kredit: Intan Ali,debit: Pulangan Belian,kredit: Pulangan Belian,debit: Pulangan Jualan,kredit: Pulangan Jualan,"D,G",
,checkbox,Cek yang diberi oleh Farisha didapati cek tak laku,debit: Bank,kredit: Bank,debit: Farisha,kredit: Farisha,debit: Pulangan Belian,kredit: Pulangan Belian,debit: Pulangan Jualan,kredit: Pulangan Jualan,"B,C",
,checkbox,Membayar kadar bayaran dengan tunai,debit: Tunai,kredit: Tunai,debit: Kadar Bayaran,kredit: Kadar Bayaran,,,,,"B,C",
,checkbox,Membayar gaji pekerja secara tunai,debit: Tunai,kredit: Tunai,debit: Gaji,kredit: Gaji,,,,,"B,C",
,checkbox,Menerima komisen dengan cek,debit: Bank,kredit: Bank,debit: Komisen diterima,kredit: Komisen diterima,,,,,"A,D",
