title,type,question,A,B,C,D,E,answer,image
Akaun Kawalan - Baki,radio,Lejar Jualan 1 Januari Baki b/b,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Lejar Jualan 1 Januari Baki Debit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Lejar Jualan 31 Januari Baki Debit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Lejar Jualan 1 Januari Baki Kredit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Lejar Jualan 31 Januari Baki Kredit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Lejar Jualan 31 Januari Baki h/b,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Lejar Belian 1 Januari Baki b/b,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,D,
,radio,Lejar Belian 1 Januari Baki Debit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,C,
,radio,Lejar Belian 1 Januari Baki Kredit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,D,
,radio,Lejar Belian 31 Januari Baki Kredit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,C,
,radio,Lejar Belian 31 Januari Baki Debit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,D,
,radio,Lejar Belian 31 Januari Baki h/b,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,C,
