title,type,question,A,B,C,D,E,answer,image
Akaun Kawalan,radio,Jualan Kredit,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Cek tak laku / Cek tak layan,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Diskaun diberi dibatalkan,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Faedah dikenakan kepada pelanggan,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Angkutan dikenakan kepada pelanggan,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,A,
,radio,Menerima cek daripada pelanggan,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Akaun Belum Terima membayar cek,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Diskaun diberi,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Hutang Lapuk,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Pulangan Jualan,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,radio,Pulangan Masuk,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,B,
,checkbox,Kontra 复选题,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,"B,C",
,checkbox,Pindahan 复选题,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,"B,C",
,radio,Pulangan Keluar,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,C,
,radio,Pulangan Belian,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,C,
,radio,membayar cek kepada Akaun Belum Bayar,Akaun Kawalan Belum Terima Debit (A),Akaun Kawalan Belum Terima Kredit (B),Akaun Kawalan Belum Bayar Debit (C),Akaun Kawalan Belum Bayar Kredit (D),不用记录,C,
