title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,answer,image
Type of Support in Animals,radio,vertebrates / vertebrata,endoskeleton / rangka dalam,exoskeleton / rangka luar,hydrostatic skeleton / rangka hidrostatik,,,,,,,,,,,A,
,checkbox,Function of endoskeleton / Fungsi rangka dalam,supporting the body weight / menyokong berat badan,protecting the internal organs / melindungi organ dalaman,maintaining the body shape / mengekalkan bentuk badan,Digesting food in the stomach / Mencerna makanan di dalam perut,Pumping blood throughout the body / Mengepam darah ke seluruh badan,Controlling body temperature / Mengawal suhu badan,,,,,,,,"A,B,C",
,checkbox,Function of exoskeleton / Fungsi rangka luar,supporting the body weight / menyokong berat badan,protecting the internal organs / melindungi organ dalaman,maintaining the body shape / mengekalkan bentuk badan,Digesting food in the stomach / Mencerna makanan di dalam perut,Pumping blood throughout the body / Mengepam darah ke seluruh badan,Controlling body temperature / Mengawal suhu badan,,,,,,,,"A,B,C",
,radio,Function of hydrostatic skeleton / Fungsi rangka hidrostatik,supporting the body weight / menyokong berat badan,protecting the internal organs / melindungi organ dalaman,maintaining the body shape / mengekalkan bentuk badan,Digesting food in the stomach / Mencerna makanan di dalam perut,Pumping blood throughout the body / Mengepam darah ke seluruh badan,Controlling body temperature / Mengawal suhu badan,,,,,,,,C,
,radio,"made up of internal bones and cartilage / 
terbina daripada tulang atau rawan",endoskeleton / rangka dalam,exoskeleton / rangka luar,hydrostatic skeleton / rangka hidrostatik,,,,,,,,,,,A,
,radio,"consists of an outer layer of waxy chitin or shell / 
terdiri daripada lapisan keras kitin berlilin atau cangkerang",endoskeleton / rangka dalam,exoskeleton / rangka luar,hydrostatic skeleton / rangka hidrostatik,,,,,,,,,,,B,
,radio,"consists of a muscular wall that encloses the body cavity that is filled with fluid / 
terdiri daripada dinding berotot yang melitupi rongga badan yang diisi dengan bendalir",endoskeleton / rangka dalam,exoskeleton / rangka luar,hydrostatic skeleton / rangka hidrostatik,,,,,,,,,,,C,
,checkbox,endoskeleton / rangka dalam,cat / kucing,frog / katak,fish / ikan,crocodile / buaya,eagle / helang,spider / labah-labah,prawn / udang,scorpian / kala jengking,crab / ketam,star fish / tapak sulaiman,jelly fish / obor-obor,earthworm / cacing tanah,leech / lintah,"A,B,C,D,E",
,checkbox,exoskeleton / rangka luar,cat / kucing,frog / katak,fish / ikan,crocodile / buaya,eagle / helang,spider / labah-labah,prawn / udang,scorpian / kala jengking,crab / ketam,star fish / tapak sulaiman,jelly fish / obor-obor,earthworm / cacing tanah,leech / lintah,"F,G,H,I",
,checkbox,hydrostatic skeleton / rangka hidrostatik,cat / kucing,frog / katak,fish / ikan,crocodile / buaya,eagle / helang,spider / labah-labah,prawn / udang,scorpian / kala jengking,crab / ketam,star fish / tapak sulaiman,jelly fish / obor-obor,earthworm / cacing tanah,leech / lintah,"J,K,L,M",
