title,type,question,A,B,C,D,E,F,G,H,answer,image
Function of hormones / Fungsi hormon,radio,"Controls the quantity of water reabsorbed by the kidneys / 
Mengawal kuantiti air yang diserap semula oleh ginjal",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,A,
,radio,"Stimulates growth in children / 
Merangsang pertumbuhan di peringkat kanak-kanak",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,B,
,radio,"Controls the rate of metabolism / 
Mengawal kadar metabolisme badan",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,C,
,radio,"Prepares your body to act in an emergency situation / 
Menyediakan badan kita untuk bertindak dalam keadaan kecemasan",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,D,
,radio,"Controls the glucose level in the blood / 
Mengawal aras glukosa di dalam darah",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,E,
,radio,"Controls the female secondary sexual characteristics / 
Mengawal ciri-ciri seks sekunder perempuan",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,F,
,radio,"Maintains the thickness of the wall of the uterus for the implantation of embryo / 
Mengekalkan ketebalan dinding uterus untuk penempelan embrio",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,G,
,radio,"Controls the development of male secondary sexual characteristics / 
Mengawal perkembangan ciri-ciri seks sekunder lelaki",Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH),Growth hormone (GH) / Hormon pertumbuhan (GH),Thyroxine / Tiroksina,Adrenaline / Adrenalina,Insulin / Insulin,Oestrogen / Estrogen,Progesterone / Progesteron,Testosterone / Testosteron,H,
,text,Antidiuretic hormone (ADH) / Hormon antidiuresis (ADH) 和 Growth hormone (GH) / Hormon pertumbuhan (GH) 是由谁产生的？,,,,,,,,,"pituitary gland,kelenkar pituitari",
,text,Thyroxine / Tiroksina 是由谁产生的？,,,,,,,,,"thyroid gland,kelenjar tiroid",
,text,Adrenaline / Adrenalina 是由谁产生的？,,,,,,,,,"adrenal gland,kelenjar adrenal",
,text,Insulin / Insulin 是由谁产生的？,,,,,,,,,"pancreas,pankreas",
,text,Oestrogen / Estrogen 和 Progesterone / Progesteron 是由谁产生的？,,,,,,,,,"ovary,ovari",
,text,Testosterone / Testosteron 是由谁产生的？,,,,,,,,,testis,
