title,type,question,A,B,C,D,E,answer,image
Ciri-ciri Syarikat Persendirian dan Syarikat Awam,radio,Bilangan ahli: Minimum seorang dan maksimum 50 orang,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,A,
,radio,Bilangan ahli: Minimum seorang dan maksimum tiada had,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,B,
,radio,Bilangan pengarah: Minimum seorang,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,A,
,radio,Bilangan pengarah: Minimum 2 orang,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,B,
,radio,Pindah milik syer: Syer tidak boleh dipindah milik tanpa persetujuan daripada pemegang syer yang lain,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,A,
,radio,Pindah milik syer: Syer bebas dipindah milik dan mudah dijual beli melalui broker syer di bursa sah am,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,B,
,radio,Status syer: Syer tidak boleh disenaraikan atau diurus niaga di Bursa Malaysia,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,A,
,radio,Status syer: Syer boleh disenaraikan dan diniagakan secara bebas di Bursa Malaysia,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,B,
,radio,Laporan kewangan: Penyata kewangan perlu diedarkan kepada pemegang syer,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,A,
,radio,Laporan kewangan: Penyata kewangan perlu dibentangkan di Mesyuarat Agung Tahunan Syarikat.,Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,B,
,checkbox,"Pemilikan syer: Terbuka kepada individu, persatuan dan entiti perniagaan",Syarikat Persendirian Berhad,Syarikat Awam Berhad,,,,"A,B",
