title,type,question,A,B,answer,image
Ciri-ciri Syer Biasa dan Syer Keutamaan,radio,Kadar dividen tidak tetap,Syer Biasa,Syer Keutamaan,A,
,radio,Dividen hanya diberikan sekiranya ada lebihan daripada keuntungan syarikat setelah dividen Syer Keutamaan dibayar,Syer Biasa,Syer Keutamaan,A,
,radio,Mempunyai hak mengundi untuk melantik lembaga pengarah semasa Mesyuarat Agung Tahunan,Syer Biasa,Syer Keutamaan,A,
,radio,Tuntutan modal hanya boleh dibuat setelah tuntutan pemegang Syer Keutamaan dan semua liabiliti lain telah diselesaikan,Syer Biasa,Syer Keutamaan,A,
,radio,Tiada tunggakan dividen atau tidak bersifat timbun tambah(kumulatif),Syer Biasa,Syer Keutamaan,A,
,radio,"Tunggakan dividen akan dibayar kepada pemegang Syer Keutamaan pada tahun perakaunan yang lain, sekiranya pada tahun semasa syarikat mengalami kerugian",Syer Biasa,Syer Keutamaan,B,
,radio,Berhak membuat tuntutan modal sekiranya syarikat dibubarkan,Syer Biasa,Syer Keutamaan,B,
,radio,Tiada hak mengundi untuk melantik lembaga pengarah dalam Mesyuarat Agung Tahunan,Syer Biasa,Syer Keutamaan,B,
,radio,Menerima dividen terlebih dahulu daripada pemegang Syer Biasa,Syer Biasa,Syer Keutamaan,B,
,radio,Kadar dividen tetap,Syer Biasa,Syer Keutamaan,B,
