title,type,question,A,B,C,D,answer,image
Position of ions in the electrochemical series,radio,Molten Potassium Chloride / Leburan Kalium Klorida 的 anode / anod 会出现什么ions / ion?,Potassium ions / Ion Kalium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,B,
,radio,Potassium Chloride Solution / Larutan Kalium Klorida 的 anode / anod 会出现什么ions / ion?,Potassium ions / Ion Kalium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,D,
,radio,Molten Potassium Chloride / Leburan Kalium Klorida 的 cathode / katod 会出现什么ions / ion?,Potassium ions / Ion Kalium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Potassium Chloride Solution / Larutan Kalium Klorida 的 cathode / katod 会出现什么ions / ion?,Potassium ions / Ion Kalium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,C,
,radio,Molten Sodium Chloride / Leburan Natrium Klorida 的 anode / anod 会出现什么ions / ion?,Sodium ions / Ion Natrium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,B,
,radio,Sodium Chloride Solution / Larutan Natrium Klorida 的 anode / anod 会出现什么ions / ion?,Sodium ions / Ion Natrium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,D,
,radio,Molten Sodium Chloride / Leburan Natrium Klorida 的  cathode / katod   会出现什么ions / ion?,Sodium ions / Ion Natrium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Sodium Chloride Solution / Larutan Natrium Klorida 的  cathode / katod 会出现什么ions / ion?,Sodium ions / Ion Natrium,Chloride ions / Ion Klorida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,C,
,radio,Molten Iron Sulphate / Leburan Ferum Sulfida 的 anode / anod 会出现什么ions / ion?,Iron ions / Ion Ferum,Sulphate ions / Ion Sulfat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,B,
,radio,Iron Sulphate Solution / Larutan Ferum Sulfida 的 anode / anod 会出现什么ions / ion?,Iron ions / Ion Ferum,Sulphate ions / Ion Sulfat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,D,
,radio,Molten Iron Sulphate / Leburan Ferum Sulfida 的  cathode / katod   会出现什么ions / ion?,Iron ions / Ion Ferum,Sulphate ions / Ion Sulfat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Iron Sulphate Solution / Larutan Ferum Sulfida 的  cathode / katod 会出现什么ions / ion?,Iron ions / Ion Ferum,Sulphate ions / Ion Sulfat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,C,
,radio,Molten Copper Iodide / Leburan Kuprum Iodida 的 anode / anod 会出现什么ions / ion?,Copper ions / Ion Kuprum,Iodide ions / Ion Iodida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,B,
,radio,Copper Iodide Solution / Larutan Kuprum Iodida 的 anode / anod 会出现什么ions / ion?,Copper ions / Ion Kuprum,Iodide ions / Ion Iodida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,D,
,radio,Molten Copper Iodide / Leburan Kuprum Iodida 的  cathode / katod 会出现什么ions / ion?,Copper ions / Ion Kuprum,Iodide ions / Ion Iodida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Copper Iodide Solution / Larutan Kuprum Iodida 的  cathode / katod 会出现什么ions / ion?,Copper ions / Ion Kuprum,Iodide ions / Ion Iodida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Molten Silver Nitrate / Leburan Argentum Nitrat 的 anode / anod 会出现什么ions / ion?,Silver ions / Ion Argentum,Nitrate ions / Ion Nitrat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,B,
,radio,Silver Nitrate Solution / Larutan Argentum Nitrat 的 anode / anod 会出现什么ions / ion?,Silver ions / Ion Argentum,Nitrate ions / Ion Nitrat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,D,
,radio,Molten Silver Nitrate / Leburan Argentum Nitrat 的 cathode / katod   会出现什么ions / ion?,Silver ions / Ion Argentum,Nitrate ions / Ion Nitrat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Silver Nitrate Solution / Larutan Argentum Nitrat 的 cathode / katod 会出现什么ions / ion?,Silver ions / Ion Argentum,Nitrate ions / Ion Nitrat,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Molten Zinc Bromide / Leburan Zink Bromida 的 anode / anod 会出现什么ions / ion?,Zinc ions / Ion Zink,Bromide ions / Ion Bromida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,B,
,radio,Zinc Bromide Solution / Larutan Zink Bromida 的 anode / anod 会出现什么ions / ion?,Zinc ions / Ion Zink,Bromide ions / Ion Bromida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,D,
,radio,Molten Zinc Bromide / Leburan Zink Bromida 的 cathode / katod  会出现什么ions / ion?,Zinc ions / Ion Zink,Bromide ions / Ion Bromida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,A,
,radio,Zinc Bromide Solution / Larutan Zink Bromida 的 cathode / katod 会出现什么ions / ion?,Zinc ions / Ion Zink,Bromide ions / Ion Bromida,Hydrogen Ions / Ion Hidrogen,Hydroxide ions / Ion Hidroksida,C,
