title,type,question,A,B,C,D,answer,image
F5 SC Chp 6.2 Chemical Cell,radio,Energy change of chemical cell / Perubahan tenaga sell kimia,Chemical energy → Electrical energy / Tenaga kimia → Tenaga elektrik,Electrical energy → Chemical energy / Tenaga elektrik → Tenaga kimia,,,A,
,radio,Electrochemical series 排在比较上面的是,Negative terminal / Terminal negatif,Positive terminal / Terminal positif,,,A,
,radio,Electrochemical series 排在比较下面的是,Negative terminal / Terminal negatif,Positive terminal / Terminal positif,,,B,
,radio,Chemical cell / Sel kimia 里 Anode / Anod 是,Negative terminal / Terminal negatif,Positive terminal / Terminal positif,,,A,
,radio,Chemical cell / Sel kimia 里 Cathode / Katod 是,Negative terminal / Terminal negatif,Positive terminal / Terminal positif,,,B,
,checkbox,Electrode / Elektrod 用 Aluminium 和 Copper / Kuprum 的话，Positive terminal / Terminal positif 和 Negative terminal / Terminal negatif 分别是,Negative terminal / Terminal negatif = Aluminium,Positive terminal / Terminal positif = Aluminium,Positive terminal / Terminal positif = Copper / Kuprum,Negative terminal / Terminal negatif = Copper / Kuprum,"A,C",
,checkbox,Electrode / Elektrod 用 Zinc / Zink 和 Copper / Kuprum 的话，Positive terminal / Terminal positif 和 Negative terminal / Terminal negatif 分别是,Negative terminal / Terminal negatif = Zinc / Zink,Positive terminal / Terminal positif = Zinc / Zink,Positive terminal / Terminal positif = Copper / Kuprum,Negative terminal / Terminal negatif = Copper / Kuprum,"A,C",
,checkbox,Electrode / Elektrod 用 Magnesium 和 Copper / Kuprum 的话，Positive terminal / Terminal positif 和 Negative terminal / Terminal negatif 分别是,Negative terminal / Terminal negatif = Magnesium,Positive terminal / Terminal positif = Magnesium,Positive terminal / Terminal positif = Copper / Kuprum,Negative terminal / Terminal negatif = Copper / Kuprum,"A,C",
,radio,Electron / Elektron 是从哪去哪？,Negative terminal / Terminal negatif → Positive terminal / Terminal positif,Positive terminal / Terminal positif → Negative terminal / Terminal negatif,,,A,
,radio,Electrochemical series / Siri elektrokimia 距离越远，产生的电越,大,小,,,A,
,radio,Copper - Zinc / Kuprum - Zink 和 Magnesium - Copper/Kuprum 相比，哪组产生的电最大？,Copper - Zinc / Kuprum - Zink,Magnesium - Copper/Kuprum,,,B,
,text,Copper - Copper / Kuprum - Kuprum 所产生的电压是多少V?,,,,,0,
,text,Electrochemical series / Siri elektrokimia 里排在 Calcium / Kalsium 后面的是,,,,,Magnesium,
,text,Electrochemical series / Siri elektrokimia 里排在 Magnesium 后面的是,,,,,Aluminium,
,text,Electrochemical series / Siri elektrokimia 里排在 Aluminium 后面的是,,,,,"Zinc,Zink",
,text,Electrochemical series / Siri elektrokimia 里排在 Zinc / Zink 后面的是,,,,,"Iron,Ferum",
,text,Electrochemical series / Siri elektrokimia 里排在 Iron / Ferum 后面的是,,,,,"Tin,Stanum",
,text,Electrochemical series / Siri elektrokimia 里排在 Tin / Stanum 后面的是,,,,,"Lead,Plumbum",
,text,Electrochemical series / Siri elektrokimia 里排在 Lead / Plumbum 后面的金属是,,,,,"Copper,Kuprum",
,text,Electrochemical series / Siri elektrokimia 里排在 Copper / Kuprum 后面的是,,,,,"Silver,Argentum",
